ሰላም ለኪ	nagaan isiniif haa ta'u
ከመ ትፈኑ ቅዱሰ መንፈሰ ወኃይለ ዲበ ዝንቱ ኅብስት ወላዕለ ዝ ጽዋዕ ይረስዩ ለዝንቱ ኅብስት ሥጋ ዚኣከ ቅዱሰ ወለዝ ጽዋዕ	buddeena kanaa fi xoofoo kanaaf hafuura qulqulluu fi humna ergita qaama kee isa qulqulluu fi xoofoo kana dhiiga cinaacha kee akka godhu
ወእምዝ ጸለየ በአሐቲ መካን ወፈጺሞ ጸሎተ ይቤሎ አሐዱ እምአርዳኢሁ እግዚኦ መሀረነ ጸሎተ በከመ መሀሮሙ ዮሐንስ ለአርዳኢሁ	iyyasuusiddoo tokkotti in kadhata ture kadhannaa isaa erga dhaabee booddee bartoota isaa keessaa tokko yaa gooftaa yohannis bartoota isaa akkuma barsiise kadhachuu nu barsiisi jedheen
ወአእመርዎ ከመ ውእቱ ዘይነብር በኆኅተ ምኵራብ እንተ ስማ ኦርያ ወይስእል ወደንገፁ ወአንከሩ በእንተ ተኣምር ዘኮነ ላዕሌሁ	mana qulqullummaa balbala miidhagaa dura taa'ee horii kadhataa inni ture isa akka ta'es baranii waan isaaf godhame kanaafis fajajanii baay'ee raajeffatan
ወይቤሎሙ አንትሙሰ እምታሕቱ አንትሙ ወአንሰ እምላዕሉ አነ አንትሙሰ እምዝንቱ ዓለም አንትሙ ወአንሰ ኢኮንኩ እምዝንቱ ዓለም	inni immoo isin kan goodaa kanaa ti ani immoo kan gubbaa sanaa ti isin kan biyya lafa kanaa ti ani garuu kan biyya lafa kanaa miti
ወብዙኃን ሖሩ ኀቤሁ ወይቤሉ ዮሐንስ አልቦ ዘገብረ ተአምረ ወኢምንተኒ ወባሕቱ ኵሉ ዘይቤ ዮሐንስ በእንተዝ ብእሲ እሙነ ኮነ	namoonni baay'eenis gara isaa dhufanii yohannis milikkita tokko illee hin argisiifne garuu waa'ee namicha kanaatiif kan inni dubbate hundinuu dhugaa ture jedhan
አላ ነሣእክሙ ደብተራ ሞሎሕ ወኮከበ አምለክሙ ዘስሙ ሬፋን ወገበርክሙ አምሳሊሁ ከመ ትስግዱ ሎቱ ወአፈልሰክሙ ውስተ ባቢሎን	isinoo godoo molok isa uffata irraa hojjetamee fi bifa urjii waaqayyicha reefaan jedhamu baattan isin isaaniif sagaduudhaaf waaqayyolii tolfaman hojjetattan anis immoo isin baasee biyya baabilon irra fagaatutti isin nan dabarsa jedhe
ወይቤሎሙ ጳውሎስ ዮሐንስ አጥመቀ በጥምቀተ ንስሓ እንዘ ይሰብክ ከመ ይእመኑ በዘይመጽእ እምድኅሬሁ ዘውእቱ ኢየሱስ ክርስቶስ	phaawulos yommus yohannis isa booddee isa dhufuuf turetti kana jechuunis yesusitti akka amanan saba barsiisee cuupphaa geddarannaa yaada garaa cuuphe jedhe
ወእምዝ ለበዉ አርዳኢሁ ከመ አኮ ዘይቤሎሙ በእንተ ብኅአተ ኅብስት ይትዐቀቡ አላ እምነ ትምህርቶሙ ለፈሪሳውያን ወሰዱቃውያን	ergasii isaan waa'ee raacitii buddeenaa utuu hin ta'in barsiisa warra fariisotaa fi saduqootaattii akka of eeggatan jechuu isaa akka ta'e hubatan
ወበከመ አቅደመ ኢሳይያስ ብሂለ ሶበ አኮ እግዚአብሔር ጸባኦት ዘአትረፈ ለነ ዘርዐ ከመ ሰዶም እምኮነ ወከመ ገሞራ እመሰልነ	akkuma isaayaas duraan dursee dubbates gooftaan maccaa ijoollee utuu nuuf hin hambifne ta'ee nuyi akka sodoom taanee gomoraas fakkaannee turre jedhe
ወይቤላ ለሳራሂ ናሁ ወሀብክዎ ለእኁኪ ዐሠርቱ ምእተ ጠፋልሐ ብሩር ወዝንቱ ይኩንኪ ለኪ ለክብረ ገጽኪ ወበኵሉ ጽድቀ ተናገራ	saaraadhaaniskunoo ija warra si bira jiranii si irraa buqqisuudhaaf dhugaa qabaachuu kees hundumaa duratti mul'isuudhaaf ilaa obboleessa keetiif meetii kuma tokko kenneera jedhe
ወበጺሖ እግዚእ ኢየሱስ ብሔረ ቂሳርያ ዘፊልጶስ ተስእሎሙ ለአርዳኢሁ እንዘ ይብል መነ ይብልዎ ሰብእ ለወልደ ዕጓለ እመሕያው	iyyasuusgara naanna'aa mandara qiisaariyaa filiphos yommuu dhaqe namoonni ilma namaatiin eenyu jedhu jedhee bartoota isaa gaafate
ወሶበ ሰምዐት ኤልሳቤጥ ቃላ ለማርያም እንዘ ትትአምኃ አንፈርዐጸ ዕጓል በውስተ ከርሣ ወመልአ መንፈስ ቅዱስ ላዕለ ኤልሳቤጥ	yeroo elsaabex nagaa maariyaam dhageessetti mucichi gammachuudhaan garaa ishee keessa burraaqe elsaabex yommus hafuura qulqulluudhaan in guutamte
እምከመ ሀሎከ ምስለ ብእሲትከ ኢትፍቅድ ተኃድጎ ምስሌሃ ወእመሰ አልብከ ብእሲት ኢትፍቅድ አንስተ ወእመሰ አውሰብከ ኢጌገይከ	seera gaa'elaatiin haadha manaa keetti hidhamteettaa yoos ittii hiikamuu hin barbaadin niitii hin fuunee yoos niitii fuudhuu hin barbaadin
ወዘሰ ውስተ ሦክ ተዘርዐ ዝ ውእቱ ዘነገረ ይሰምዕ ወትካዘ ዝ ዓለም ወስፍጠተ ብዕል ተኀንቆ ለነገር ወዘእንበለ ፍሬ ይከውን	akkuma sanyiin qoraattii keessa bu'e ta'e akkasuma namni dubbicha in dhaga'a kana booddees yaaddoon biyya lafaa gowwoomsaan soorumaa dubbicha in hudha ija utuu hin godhatinis in hafa
ወሶበ ሰምዐ አብራም ከመ ተፄወወ ሎጥ ወልደ እኁሁ ኈለቆሙ ለእሊአሁ ወለኵሎሙ ሰብአ ቤቱ ወኮኑ ወዴገኖሙወተለዎሙ እስከ ዳን	abraam booji'amuu ilma obboleessaa isaatii yommuu dhaga'e namoota warra mana isaatti dhalatanii lolaaf ga'an birmachiisee warra booji'e sana hamma daanitti hordofe
እምከመ ሠረቀ ፀሓይ ምስለ ላህቡ ያየብሶ ለሣዕር ወፍሬሁኒ ይወድቅ ወሥነ ራእዩኒ ይትኀጐል ከማሁኬ ባዕልኒ በፍናዊሁ ይጸመሂ	biiftuun in baati buluqni ishee irraa dhufus in guba innis margicha in coollagsa daraaraa isaas in harcaasa miidhagummaan daraaraa sanaas in bada namni sooressis akkasuma wanta itti dadhabu sanaa wajjin gad in bada
ወይሬእይዎ አሕዛብ ወሕዝብ ወነገድ ወበሐውርት ለበድኖሙ ሠሉሰ መዋዕለ ወመንፈቀ ወኢያበውሕ ይቅብርዎ ውስተ መቃብር ለበድኖሙ	nama hundumaa keessaa gosa hundumaa keessaa afaan hundumaa keessaa saba hundumaa keessaa warri dhufan guyyaa sadii fi walakkaadhaaf reeffa isaanii lafatti in ilaalu malee hin awwaalchisan
እስመ እፈቅድ እርአይክሙ ወከመ ትርከቡ ጸጋሁ ለመንፈስ ቅዱስ በእንተዝ ከመ ይትፈሣሕ ልብክሙ እስመ ኀበርክሙ አሚነ ምስሌየ	ani kennaa hafuuraa isiniin ga'uudhaan akka isin ittiin jabaattaniifan isin arguu yaada
እስመ ንትመነሶ ዮም በዘአምጻእክሙ ለነ ሀከከ ዘአልቦ ጌጋይ ወአልብነ ዘንትዋቀሥ በእንተዝ ሀከክ ወዘንተ ብሂሎ ነሠተ ዐውደ	goolii har'a ta'e kanatti itti gaafatamuun keenya hin oolu gooliin kun ka'uu isaatiif sababiin hin jiru nus immoo waa'ee isaatiif deebii ga'u kennuu in dadhabna jedhe
ወመጺኦሙ አግብርቲሁ ለበዐለ ገራህት ይቤልዎ እግዚኦ አኮሁ ሠናየ ዘርዐ ዘራዕከ ውስተ ገራህትከ እምአይቴ እንከ ሎቱ ክርዳድ	kana irratti hojjetoonni abbaa warraatti dhi'aatanii gooftaa sanyii gaarii qotiisa keetti facaafte mitii inkirdaada immoo eessaa godhate ree jedhaniin
እስመ ከመ ብእሲ ዘይነግድ ወየኀድግ ቤቶ ወይሁቦሙ ግብሮሙ ለአግብርቲሁ ለለ አሐዱ እምኔሆሙ ወይኤዝዞ ለዐጻዊኒ ከመ ይትጋህ	kun akka nama mana isaa dhiisee biyya fagoo dhaquudhaaf ka'ee ti inni hojjetoota isaatiif aboo kennee tokkon tokkon isaaniitiif hojii hojii isaanii kenne karra eegduudhaan immoo hin dagatin dammaqi jedhee abboome
ወብዙኃን እለ ለምጽ ሀለዉ በውስተ እስራኤል አመ መዋዕለ ኤልሳዕ ነቢይ ወኢነጽሐ አሐዱሂ እምኔሆሙ ዘእንበለ ንእማን ሶርያዊ	akkasumas bara elsaai raajichaatti israa'el keessa dhukkuba lamxii kan qaban namoota baay'eetu ture garuu na'amaan namicha soriyaa sana duwwaa malee warra kaan keessaa tokko illee hin qulloofne jedhe
ዘበእንቲኣነ ለሰብእ ወበእንተ መድኃኒትነ ወረደ እምሰማያት ተስብኣ ወተሠገወ ወእመንፈስ ቅዱስ ወእማርያም እምቅድስት ድንግል	nuu fayyisuuf samiirraa gad bue hojii afuura qulqulluutiin qulqulleetti dubroo maariyaamirraa nama tae
ዘኒ ይትወለድ እምኔኪ ቅዱስ ውእቱ ወይሰመይ ወልደ እግዚአ ኲሉ ዘተወልደ እምኔኪ ወልድኪ ሣህሎ ይክፍለነ ሰአሊ ለነ ቅድስት	kan sirraa dhalate qulqulluudha yaa qulqulleettii kan sirraa dhalate dhiifama akka isaaf goonu nuuf kadhadhu
ወመጽአ ቃል እምሰማይ ከመ ቃለ ማይ ብዙኅ ወከመ ቃለ ነጐድጓድ ዐቢይ ወከመ ቃለ መሰናቁት ሶበ ይሰነቅዉ በበ መሰንቆታቲሆሙ	sagalee akka huursaa bishaan baay'ee akka guungummii kakawwee guddaas waaqa keessaa nan dhaga'e sagaleen ani dhaga'es waan akka sagalee kiraara gurguddaa warri kiraara rukutan dhageessisanii ture
ኢገደፈ እግዚአብሔር ሕዝቦ ዘአቅደመ አእምሮ ኢተአምሩኑ ዘይቤ ኤልያስ አመ ሰከዮሙ ለእስራኤል ኀበ እግዚአብሔር እንዘ ይብል	waaqayyo saba isaa warra duraan dursee beekumsa isaatiin fo'ate hin ganne waa'ee isa eliyaas waaqayyoon israa'elitti kadhatee caaffanni qulqullaa'aan waan jedhu in beektu mitii
ወበእንተሰ አሕዛብ እለ የአምኑ ንሕነ አዘዝነ ከመ ይትዐቀቡ ዘይትሔረሙ እምዘ ይዘብሑ ለአማልክት ወእምዝሙት ወእማውታ ወደም	saba waaqayyoo warra hin ta'in keessaa kan amanan immoo qalma waaqayyolii tolfamaniif dhi'aate irraa dhiiga nyaachuu fi dhuguu irraa foon horii hudhamee du'ee nyaachuu irraa halalummaa irraas akka of eeggatan duraan dursinee murtoo goonee isaaniif caafneerra ittiin jedhan
ወወሀቦ ለሙሴ ሶበ ፈጸመ ተናግሮ ምስሌሁ በደብረ ሲና ክልኤ ጽላተ ዘትእዛዝ ጽላተ ዘእብን ጽሑፋት በአጽባዕተ እግዚአብሔር	waaqayyo gaara siinaa irratti musee wajjin dubbate yommuu raawwatu gabatee dhagaa lamaan quba waaqayyootiin barreeffame kenne
ወእምዝ አውሥኣ እግዚእ ኢየሱስ ወይቤላ ኦ ብእሲቶ ዐቢይ ሃይማኖትኪ ይኩንኪ በከመ ተአመንኪ ወሐይወት ወለታ እምይእቲ ሰዓት	kana irratti yesus dubartii nana amantiin kee guddaa dha akkuma ati barbaadde siif haa ta'u jedhee deebiseef intalli ishees si'uma sana fayyite
ወይቤሎሙ አቡሁ ለአግብርቲሁ አምጽኡ ፍጡነ አልባሰ ቅድዋተ ወአልብስዎ ወደዩ ኅልቀተ ውስተ አጻብዒሁ ወአሣእነ ውስተ እገሪሁ	abbaan isaa garuu ergamtuu isaatiin dafaatii uffata isa keessaa caalu fidaatii itti uffisaa amartii warqees quba isaatti kaa'aa kophees miilla isaatti kaa'aa
ኮነ ሰብአ ፍጹመ ዘእንበለ ኃጢኣት ወአስርአየ ከመ ገብር እንዘ ይገብር ከመ እግዚአብሔር በከመ ስምዐ ኮኑ ሰባክያነ ወንጌሉ	inni nama cubbuu hin qabne taee akka waaqayyootti sochoee akka garbichaatti mulate akkuma warri wangeela barsiisan dhugaa baan
ወአልቦ ዘይትዔረዮ እምኵሉ ፍጥረት ወእምኵሉ ደቂቃ አማልክት ባሕቲቱ አማላክ ወባሕቲቱ እግዚእ ባሕቲቱ ፈጣሪ ወባሕቲቱ ገባሪ	uumama hundumaa irraas ijoollee waaqayyoo hundumaa irraas wal qixa hin jiru inni qofti waaqa inni qofti gooftaa inni tokkicha uumaa inni tokkicha uumaa
ወኢተአምሩኑ ከመ ቅዱሳን ይኴንንዎሙ ለዓለም ወእመሰኬ አንትሙ ትኴንንዎሙ ለዓለም ኢይደልወክሙኑ ትኰንኑ ዘንተ ትሑተ ምኵናነ	warri waaqayyoof qulqullaa'an biyya lafaatti akka faradan isin hin beektanii ree isin biyya lafaatti in faraddu erga ta'ee immoo dubbii xixinnaa ilaaluudhaaf hin taatanii ree
ወባሕቱ እብል ቦኑ ኢሰምዑ እስራኤል አኮኑ ይቤ መጽሐፍ ውስተ ኵሉ ምድር ወፅአ ነገሮሙ ወእስከ አጽናፈ ዓለም በጽሐ ነቢቦሙ	amma isaan dhuguma waa'ee kanaa hin dhageenyee ree jedheen gaafadha dhaga'uun isaanii mama hin qabu caaffanni qulqullaa'aan waan isaan afaan isaaniitiin dubbatan lafa hundumaatti ba'e dubbiin isaaniis lafa namni jiraatu hundumaa ga'e in jedha
እስመ ውእቱ ሄሮድስ ፈነወ አግብርቲሁ ወአኀዞ ለዮሐንስ ወሞቅሖ በእንተ ሄሮድያዳ ብእሲተ ፊልጶስ እኁሁ እስመ ኪያሃ አውሰበ	herodis waa'ee herodiyaas haadha manaa obboleessa isaa filiphosiif jedhee nama itti ergee yohannisin qabsiisee hiisisee ture herodis ishee fuudhee ture
ወወፂኦ ውእቱ ገብር ረከበ አሐደ ገብረ እምነ አብያጺሁ ዘይፈድዮ ምእተ ዲናረ ወአኀዞ ወኀነቆ እንዘ ይብል ሀበኒ ዘትፈድየኒ	hojjetaan sun garuu akkuma gad ba'een hojjetaadhuma akka isaatii kan gatii akka birrii dhibba tokkoo irraa qabutti ba'ee morma isaa hudhee qabee gatiin si irraa qabu anaaf baasi jedhe
ወረከበ ጴጥሮስሃ ወእለ ምስሌሁ ክቡዳን አዕይንቲሆሙ በድቃስ ወነቂሖሙ ርእዩ ስብሐቲሁ ወዕደወኒ ክልኤተ እለ ይቀውሙ ምስሌሁ	yommus phexrosii fi isaa wajjin kan jiran in mugu turan isaan yommuu dammaqanis ulfina yesus namoota isaa wajjin dhaabachaa turan lamaanis in argan
ወይእተ አሚረ ይፌንዎሙ ለመላእክቲሁ ወያስተጋብእዎሙ ለኅሩያኒሁ እምአርባዕቱ ነፋሳት ወእምአጽናፈ ምድር እስከ አጽናፈ ሰማይ	inni immoo ergamoota waaqa irraa ergee warra waaqayyoof fo'aman qixa arfanii andaara lafaatii andaara bantii samiitiis walitti in qaba jedhe
ወፈቀዱ የአኀዝዎ ወባሕቱ አልቦ ዘአንሥአ እዴሁ ላዕሌሁ እስመ ዓዲ ኢበጽሐ ጊዜሁ ወእምውእቶሙ ሰብእ ብዙኃን እለ አምኑ ቦቱ	kana irratti isa qabuu yaadan garuu yeroon isaa amma illee waan hin ga'iniif namni tokko iyyuu harkaan isa hin qabne
እስመ አጥብዐ ጳውሎስ ከመ ይሑር ኤፌሶን ከመ ኢይጐንዲ ውስተ እስያ ወጐጕአ ለእመ ይትከሃሎ ይብጻሕ ኢየሩሳሌም ለጰንጠቈስጤ	phaawulos kutaa biyya asiyaa keessa turuu hin barbaanne kanaaf efesoonitti goruu dhiisee markabaan darbuudhaaf murtoo godhe ayyaana guyyaa shantamaffaa isa phenxeqostee jedhamee beekameef yerusaalem ooluun danda'ama yoo ta'e jedhee ariifatee ture
ወይቤሎ አቤሜሌክ ለአብርሃም ምንተ ርእየከ እስመ እቤ አልቦ ፍርሃተ እግዚአብሔር ውስተዝ መካን ወይቀትሉኒ በእንተ ብእሲትየ	abiimelek ammas abrahaamiinati maal argitee kana goote jedhe
ወእምድኅረ ዝንቱ ነገር አመ ሳምንት ዕለት ነሥኦሙ እግዚእ ኢየሱስ ለጴጥሮስ ወለያዕቆብ ወለዮሐንስ ወዐርገ ደብረ ከመ ይጸሊ	kana dubbatee akka guyyaa saddeetii booddee phexrosii fi yohannisin yaaqoobinis fudhatee kadhachuudhaaf gara gaaraatti ol ba'e
አንጽሑ እንከ ብኁአ ብሉየ እምኔክሙ ከመ ትኩኑ ለሐዲስ ሐሪጽ እስመ ዓዲክሙ ናእት አንትሙ አኮኑ በፋሲካነ ተሰቅለ ክርስቶስ	raacitii moofaa isin keessa jiru baasaa gataa raacitii of keessaa hin qabdan erga ta'ee isin bukoo haaraa in taatu kristos hoolaan faasiikaa keenya aarsaa nuuf ta'eera
ወሰሚዖሙ አእኰቱ እግዚአብሔርሃ ወይቤልዎ ትሬኢኑ ኦ እኁነ ሚመጠን አእላፍ በውስተ አይሁድ እለ አምኑ ወኵሎሙ ምሁራነ ኦሪት	yommus warri kana dhaga'an waaqayyoof hooqubaa dhi'eessan phaawulosiin immoo komatanii ilaa obboleessaa yihudoonni amanan kumaatama meeqatti kan lakkaa'aman akka jiran atumtuu in argita hundumti isaaniis seera waaqayyootiif in hinaafu
ወተሐርጽ እምኔሁ ድቂቀ ወታነብር ቅድመ ደብተራ ዘመርጡር በዘ ቦቱ እትኤመር ለከ እምህየ ወቅዱሰ ቅዱሳን ይኩንክሙ ዝዕጣን	xiqqoo itti aarta abjuudhaan ni argita achiis fudhattee bakka ani si qunnamu dunkaana walgaʼii keessatti dhugaa baʼaa dura kaaʼi qulqulluu qulqullootaa isiniif haa ta'u
ውእቱ ዘይክል ያጽንዕክሙ እግዚአብሔር ላዕለ ስብከት ዘእሰብክ ባቲ በእንተ ኢየሱስ ክርስቶስ ዘኅቡእ ኅርመታ እምቅድመ ዓለም	ayyaanni gooftaa keenyaa yesus kristos hunduma keessanii wajjin haa ta'u ameen
እመሰ ትፈቅድ ኦ ብእሲ ትንሣእሥርየተኃጣውኢከለምንት ትወፅእ እም ቤተ ክርስቲያን ወካልዕ ያደንን ወይስእል ምሕረተ በእንቲከ	yaa namaa cubbuu keeti dhiifama argachuu yoo barbaadde maaliif mana kiristaanaatii baata inni kaanmataa isaa gad qabee waa'ee keetiif dhiifama kadhata hoo
ወባሕቱ ከንቱ ኵሉ ደቂቀ ዕጓለ እመሕያውሐሳውያን ደቂቀ ዕጓለ እመሕያው ወይዔምፁ መዳልወእሙንቱሰ እምከንቱ ውስተ ከንቱ ክመ	namni xinnaan qilleensa homaas miti namni guddaan soba dhugaas miti miijana irratti ol in ka'u walumatti qabaan isaanii immoo qilleensa caalaa in salphatu
ወእምዝ አዘዞሙ ንጉሥ ለአግብርቲሁ ይእስርዎ እደዊሁ ወእገሪሁ ወያውፅእዎ ውስተ ጸናፌ ጽልመት ኀበ ሀሎ ብካይ ወሐቅየ ስነን	yommus mootichi warra achi keessaa ergamaniin harka isaa fi miilla isaa hidhaatii dukkana isa alaatti darbadhaa achitti namoonni in boo'u ilkaanis in qaru jedhe
ኀደረ ወልደ አምላክ ላዕሌኪ አብ በየማኑ ከደነኪ ወቅዱስ መንፈስ ጸለለኪ ወኃይለ ልዑል አጽንዐኪ ወኢየሱስ ለብሰ ሥጋ ዚአኪ	abbaan aangoo isaatiin si haa jabeessuu hafuurri qulqulluunis si haa kadhatu si haa qulqulleessu humni isa hundumaa ol taes si haa jabeessuu yesuus foon sana uffate
ከመ የኀልቅ ጢስ ከማሁ የኀልቁወከመ ይትመሰው ሰምዕ እምቅድመ ገጸ እሳትከማሁ ይትሐጐሉ ኃጥኣን እምቅድመ ገጹ ለእግዚአብሔር	akkuma qilleensi aara oofu akkasuma atis isaan in oofta akkuma gagaan ibidda duratti baqu warri jal'oonni fuula waaqayyoo duraa in badu
እስመ ናሁ ወድአ ማሕፄ ተሠይመ ውስተ ጕንደ ዕፀው ይንበር ኵሉኬ ዕፅ ዘኢይፈሪ ፍሬ ሠናየ ይትገዘም ወውስተ እሳት ይትወደይ	ammuma iyyuu qottoon hidda muka hundumaa irra kaa'amee jira mukti ija gaarii hin godhanne hundinuu muramee ibiddatti in naqama jedhee gorse
ወይቤሎ እግዚአብሔር ለሙሴ ንሣእ ለከ አፈዋተ ማየ ልብን ወቀንአተ ቅድወ ወስኂነ ዘያንጸበርቅ ወኵሉ ዕሩየ ለይኩን ድልወቱ	waaqayyo museedhaan jedhe urgooftuu mi'aawaa fudhadhu reeziinii dhangalaʼu urgooftuu qola keessa jiru reezinii urgooftuu fi ixaana gaarii fudhadhu pirooppoorshiniin hundi sirrii haa ta'u
ኦዝ መንክር ልደተ አምላክ እማርያም እምቅድስት ድንግል አግረመቶ ለቃል ኢቀደም ዘርእ ለልደቱ ወኢአማሰነ በልደቱ ድንግልናሃ	durba addaa maariyaam irraa dhalachuun waaqayyoo kun dubbii ajaa'ibaa akkamii akka ta'e murteesse dhalanis sanyii hin dursine dhalanis durbummaa ishee hin jijjiirre
